('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         788900 function calls (765638 primitive calls) in 1.997 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    131/1    0.000    0.000    1.997    1.997 {built-in method builtins.exec}
        1    0.000    0.000    1.997    1.997 financial_enhanced.py:1(<module>)
        1    0.000    0.000    1.818    1.818 financial_enhanced.py:9(data_parser)
        1    0.000    0.000    1.676    1.676 _request_methods.py:69(request)
        1    0.000    0.000    1.676    1.676 _request_methods.py:147(request_encode_url)
        1    0.000    0.000    1.676    1.676 poolmanager.py:425(urlopen)
        1    0.000    0.000    1.676    1.676 connectionpool.py:592(urlopen)
        1    0.000    0.000    1.676    1.676 connectionpool.py:377(_make_request)
        1    0.000    0.000    1.498    1.498 connection.py:534(getresponse)
      920    0.001    0.000    1.492    0.002 socket.py:693(readinto)
      920    0.001    0.000    1.490    0.002 ssl.py:1271(recv_into)
      920    0.000    0.000    1.489    0.002 ssl.py:1121(read)
      920    1.489    0.002    1.489    0.002 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    1.001    1.001 client.py:1367(getresponse)
        1    0.000    0.000    1.001    1.001 client.py:317(begin)
       29    0.000    0.000    0.998    0.034 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.914    0.914 client.py:284(_read_status)
      130    0.020    0.000    0.515    0.004 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.496    0.496 response.py:602(__init__)
        1    0.000    0.000    0.496    0.496 response.py:941(read)
        1    0.000    0.000    0.496    0.496 response.py:889(_raw_read)
        1    0.000    0.000    0.496    0.496 response.py:832(_fp_read)
        1    0.000    0.000    0.496    0.496 client.py:456(read)
        1    0.000    0.000    0.495    0.495 client.py:626(_safe_read)
       17    0.000    0.000    0.372    0.022 __init__.py:1(<module>)
    180/4    0.001    0.000    0.182    0.045 <frozen importlib._bootstrap>:1343(_find_and_load)
    180/4    0.000    0.000    0.182    0.045 <frozen importlib._bootstrap>:1298(_find_and_load_unlocked)
    157/4    0.000    0.000    0.181    0.045 <frozen importlib._bootstrap>:905(_load_unlocked)
