('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         818726 function calls (794297 primitive calls) in 6.644 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    172/1    0.001    0.000    6.644    6.644 {built-in method builtins.exec}
        1    0.001    0.001    6.644    6.644 financial.py:1(<module>)
        1    0.000    0.000    6.434    6.434 financial.py:8(data_parser)
        1    5.005    5.005    5.005    5.005 {built-in method time.sleep}
        1    0.000    0.000    1.279    1.279 api.py:62(get)
        1    0.000    0.000    1.279    1.279 api.py:14(request)
        1    0.000    0.000    1.278    1.278 sessions.py:500(request)
        1    0.000    0.000    1.202    1.202 sessions.py:673(send)
        1    0.000    0.000    1.042    1.042 adapters.py:590(send)
        1    0.000    0.000    1.038    1.038 connectionpool.py:592(urlopen)
        1    0.000    0.000    1.037    1.037 connectionpool.py:377(_make_request)
      298    0.001    0.000    1.030    0.003 socket.py:693(readinto)
      298    0.001    0.000    1.028    0.003 ssl.py:1271(recv_into)
      298    0.001    0.000    1.026    0.003 ssl.py:1121(read)
      298    1.026    0.003    1.026    0.003 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    0.888    0.888 connection.py:534(getresponse)
        1    0.000    0.000    0.887    0.887 client.py:1367(getresponse)
        1    0.000    0.000    0.887    0.887 client.py:317(begin)
       54    0.001    0.000    0.884    0.016 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.830    0.830 client.py:284(_read_status)
       21    0.000    0.000    0.507    0.024 __init__.py:1(<module>)
    231/4    0.001    0.000    0.215    0.054 <frozen importlib._bootstrap>:1343(_find_and_load)
    230/4    0.000    0.000    0.215    0.054 <frozen importlib._bootstrap>:1298(_find_and_load_unlocked)
    203/4    0.000    0.000    0.213    0.053 <frozen importlib._bootstrap>:905(_load_unlocked)
    170/4    0.000    0.000    0.213    0.053 <frozen importlib._bootstrap_external>:1002(exec_module)
    480/8    0.000    0.000    0.208    0.026 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      227    0.026    0.000    0.173    0.001 {method 'read' of '_io.BufferedReader' objects}
        3    0.000    0.000    0.159    0.053 models.py:890(content)
       11    0.001    0.000    0.159    0.014 {method 'join' of 'bytes' objects}
       38    0.000    0.000    0.159    0.004 models.py:816(generate)
       38    0.000    0.000    0.158    0.004 response.py:1069(stream)
       38    0.000    0.000    0.158    0.004 response.py:1202(read_chunked)
        1    0.000    0.000    0.149    0.149 connectionpool.py:1085(_validate_conn)
        1    0.000    0.000    0.149    0.149 connection.py:718(connect)
       37    0.000    0.000    0.148    0.004 response.py:1180(_handle_chunk)
       57    0.000    0.000    0.147    0.003 client.py:626(_safe_read)
        1    0.000    0.000    0.143    0.143 __init__.py:211(__init__)
        1    0.000    0.000    0.143    0.143 __init__.py:653(_feed)
        1    0.000    0.000    0.143    0.143 _htmlparser.py:449(feed)
        1    0.000    0.000    0.143    0.143 parser.py:104(feed)
        2    0.011    0.006    0.143    0.071 parser.py:134(goahead)
    30/17    0.000    0.000    0.128    0.008 {built-in method builtins.__import__}
    77/44    0.000    0.000    0.100    0.002 <frozen importlib._bootstrap>:1384(_handle_fromlist)
        1    0.000    0.000    0.095    0.095 connection.py:895(_ssl_wrap_socket_and_match_hostname)
        1    0.000    0.000    0.088    0.088 ssl_.py:410(ssl_wrap_socket)
        1    0.000    0.000    0.087    0.087 element.py:1(<module>)
     3333    0.017    0.000    0.086    0.000 parser.py:301(parse_starttag)
      317    0.001    0.000    0.074    0.000 __init__.py:329(_compile)
      313    0.000    0.000    0.073    0.000 __init__.py:286(compile)
      195    0.000    0.000    0.072    0.000 _compiler.py:736(compile)
        1    0.000    0.000    0.069    0.069 sessions.py:750(merge_environment_settings)
        1    0.000    0.000    0.069    0.069 utils.py:816(get_environ_proxies)
        1    0.000    0.000    0.069    0.069 utils.py:755(should_bypass_proxies)
        1    0.000    0.000    0.068    0.068 request.py:2635(proxy_bypass)
        1    0.000    0.000    0.068    0.068 request.py:2621(proxy_bypass_macosx_sysconf)
        1    0.000    0.000    0.058    0.058 request.py:2553(_proxy_bypass_macosx_sysconf)
        1    0.000    0.000    0.058    0.058 ssl_.py:508(_ssl_wrap_socket_impl)
        1    0.000    0.000    0.058    0.058 ssl.py:449(wrap_socket)
        1    0.000    0.000    0.058    0.058 ssl.py:981(_create)
        1    0.057    0.057    0.057    0.057 {built-in method _socket.gethostbyname}
        1    0.000    0.000    0.057    0.057 ssl.py:1343(do_handshake)
        1    0.057    0.057    0.057    0.057 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    0.056    0.056 client.py:238(parse_headers)
        1    0.000    0.000    0.054    0.054 connection.py:192(_new_conn)
        1    0.000    0.000    0.054    0.054 connection.py:27(create_connection)
        1    0.000    0.000    0.054    0.054 client.py:206(_read_headers)
        1    0.053    0.053    0.053    0.053 {method 'connect' of '_socket.socket' objects}
        1    0.000    0.000    0.045    0.045 css.py:1(<module>)
        3    0.000    0.000    0.044    0.015 exceptions.py:1(<module>)
      195    0.000    0.000    0.043    0.000 _parser.py:963(parse)
      170    0.001    0.000    0.043    0.000 <frozen importlib._bootstrap_external>:1075(get_code)
 1281/195    0.003    0.000    0.043    0.000 _parser.py:444(_parse_sub)
     3333    0.004    0.000    0.042    0.000 _htmlparser.py:142(handle_starttag)
 4771/203    0.015    0.000    0.042    0.000 _parser.py:504(_parse)
        1    0.000    0.000    0.039    0.039 css_parser.py:1(<module>)
        1    0.000    0.000    0.039    0.039 formatter.py:1(<module>)
  555/550    0.005    0.000    0.039    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.039    0.039 dammit.py:1(<module>)
  203/200    0.000    0.000    0.037    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
     3333    0.006    0.000    0.036    0.000 __init__.py:990(handle_starttag)
    29/26    0.000    0.000    0.035    0.001 <frozen importlib._bootstrap_external>:1300(create_module)
    29/26    0.035    0.001    0.035    0.001 {built-in method _imp.create_dynamic}
        1    0.031    0.031    0.031    0.031 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
      170    0.000    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:1196(get_data)
        1    0.000    0.000    0.029    0.029 connectionpool.py:1(<module>)
      195    0.000    0.000    0.028    0.000 _compiler.py:569(_code)
        1    0.002    0.002    0.028    0.028 dammit.py:128(_populate_class_variables)
     3129    0.004    0.000    0.027    0.000 parser.py:379(parse_endtag)
        1    0.000    0.000    0.026    0.026 client.py:1(<module>)
        1    0.000    0.000    0.025    0.025 _request_methods.py:1(<module>)
        1    0.000    0.000    0.024    0.024 _base_connection.py:1(<module>)
 5544/195    0.009    0.000    0.023    0.000 _compiler.py:37(_compile)
     3333    0.004    0.000    0.021    0.000 _htmlparser.py:204(handle_endtag)
        3    0.000    0.000    0.020    0.007 response.py:1(<module>)
        1    0.000    0.000    0.019    0.019 css_parser.py:428(CSSParser)
     6920    0.005    0.000    0.018    0.000 __init__.py:829(endData)
       16    0.000    0.000    0.018    0.001 css_parser.py:306(__init__)
        2    0.000    0.000    0.018    0.009 connection.py:1(<module>)
     3334    0.004    0.000    0.017    0.000 element.py:1627(__init__)
     3332    0.002    0.000    0.017    0.000 __init__.py:1056(handle_endtag)
        1    0.000    0.000    0.016    0.016 ssl_.py:1(<module>)
    30373    0.015    0.000    0.015    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.014    0.014 ssl.py:1(<module>)
4005/3975    0.008    0.000    0.013    0.000 {built-in method __new__ of type object at 0x101d6cac8}
      228    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:1234(_find_spec)
        2    0.000    0.000    0.012    0.006 parser.py:1(<module>)
      224    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1530(find_spec)
      224    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1501(_get_spec)
     3333    0.007    0.000    0.011    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
      170    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:764(_compile_bytecode)
        1    0.010    0.010    0.010    0.010 {built-in method _scproxy._get_proxy_settings}
        1    0.000    0.000    0.010    0.010 feedparser.py:1(<module>)
       37    0.000    0.000    0.010    0.000 response.py:494(_decode)
        1    0.000    0.000    0.010    0.010 css_parser.py:326(__init__)
       38    0.003    0.000    0.009    0.000 response.py:105(decompress)
      170    0.009    0.000    0.009    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.009    0.009 url.py:1(<module>)
        1    0.000    0.000    0.009    0.009 _policybase.py:1(<module>)
        1    0.000    0.000    0.009    0.009 compat.py:1(<module>)
       16    0.000    0.000    0.009    0.001 css_parser.py:1149(process_selectors)
    56/16    0.000    0.000    0.009    0.001 css_parser.py:925(parse_selectors)
      511    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1603(find_spec)
        2    0.000    0.000    0.008    0.004 api.py:1(<module>)
    90702    0.008    0.000    0.008    0.000 {method 'append' of 'list' objects}
        2    0.000    0.000    0.007    0.004 utils.py:1(<module>)
       37    0.007    0.000    0.007    0.000 {method 'decompress' of 'zlib.Decompress' objects}
        1    0.000    0.000    0.007    0.007 css_match.py:1(<module>)
        1    0.000    0.000    0.007    0.007 sessions.py:457(prepare_request)
    29724    0.005    0.000    0.007    0.000 _parser.py:163(__getitem__)
     3333    0.002    0.000    0.006    0.000 parser.py:345(check_for_whole_start_tag)
        1    0.000    0.000    0.006    0.006 ssl_.py:225(create_urllib3_context)
71718/65382    0.005    0.000    0.006    0.000 {built-in method builtins.len}
     3325    0.003    0.000    0.006    0.000 __init__.py:870(object_was_parsed)
    13203    0.003    0.000    0.006    0.000 _markupbase.py:44(updatepos)
     3332    0.003    0.000    0.006    0.000 __init__.py:953(_popToTag)
    44/32    0.000    0.000    0.006    0.000 css_parser.py:579(parse_pseudo_class)
        1    0.000    0.000    0.006    0.006 ssl.py:430(__new__)
      906    0.004    0.000    0.006    0.000 _compiler.py:239(_optimize_charset)
    40/31    0.000    0.000    0.006    0.000 css_parser.py:746(parse_pseudo_open)
        1    0.000    0.000    0.006    0.006 cookiejar.py:1(<module>)
       23    0.000    0.000    0.006    0.000 enum.py:504(__new__)
 5496/381    0.003    0.000    0.006    0.000 _parser.py:173(getwidth)
54760/54754    0.005    0.000    0.006    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.006    0.006 socket.py:1(<module>)
       28    0.000    0.000    0.005    0.000 enum.py:247(__set_name__)
      195    0.001    0.000    0.005    0.000 _compiler.py:507(_compile_info)
        1    0.000    0.000    0.005    0.005 hashlib.py:1(<module>)
        4    0.000    0.000    0.005    0.001 ssl.py:399(__new__)
        4    0.005    0.001    0.005    0.001 {built-in method _ssl.txt2obj}
6987/6962    0.002    0.000    0.005    0.000 typing.py:365(inner)
        1    0.000    0.000    0.005    0.005 retry.py:1(<module>)
     7515    0.001    0.000    0.005    0.000 __init__.py:122(unescape)
      181    0.000    0.000    0.005    0.000 _parser.py:93(closegroup)
        1    0.000    0.000    0.005    0.005 utils.py:207(get_netrc_auth)
        1    0.000    0.000    0.004    0.004 header.py:1(<module>)
     9927    0.004    0.000    0.004    0.000 {method 'search' of 're.Pattern' objects}
    16743    0.003    0.000    0.004    0.000 _parser.py:253(get)
        1    0.000    0.000    0.004    0.004 sessions.py:1(<module>)
        1    0.000    0.000    0.004    0.004 random.py:1(<module>)
        3    0.000    0.000    0.004    0.001 element.py:1080(_find_all)
        2    0.000    0.000    0.004    0.002 element.py:2740(find_all)
        1    0.000    0.000    0.004    0.004 element.py:2709(find)
      892    0.001    0.000    0.004    0.000 {method 'sub' of 're.Pattern' objects}
        3    0.000    0.000    0.004    0.001 filter.py:164(find_all)
       11    0.001    0.000    0.004    0.000 filter.py:130(filter)
     3325    0.002    0.000    0.004    0.000 element.py:1292(__new__)
        1    0.000    0.000    0.004    0.004 shutil.py:1(<module>)
     4364    0.001    0.000    0.004    0.000 {built-in method builtins.next}
    17524    0.004    0.000    0.004    0.000 {method 'group' of 're.Match' objects}
        1    0.000    0.000    0.004    0.004 adapters.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _typing.py:1(<module>)
      170    0.004    0.000    0.004    0.000 {built-in method _io.open_code}
     9984    0.003    0.000    0.003    0.000 element.py:377(setup)
     3325    0.002    0.000    0.003    0.000 __init__.py:735(string_container)
        2    0.000    0.000    0.003    0.002 request.py:1(<module>)
     3334    0.002    0.000    0.003    0.000 __init__.py:812(pushTag)
        1    0.000    0.000    0.003    0.003 queue.py:1(<module>)
     9813    0.003    0.000    0.003    0.000 {method 'count' of 'str' objects}
        1    0.000    0.000    0.003    0.003 adapters.py:336(build_response)
        1    0.000    0.000    0.003    0.003 selectors.py:1(<module>)
      341    0.001    0.000    0.003    0.000 css_parser.py:1108(selector_iter)
    22933    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.003    0.003 cd.py:1(<module>)
       23    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1308(exec_module)
      989    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       23    0.003    0.000    0.003    0.000 {built-in method _imp.exec_dynamic}
     2511    0.002    0.000    0.003    0.000 __init__.py:91(_replace_charref)
      995    0.003    0.000    0.003    0.000 {built-in method posix.stat}
        1    0.003    0.003    0.003    0.003 models.py:909(text)
      230    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:416(__enter__)
    25594    0.003    0.000    0.003    0.000 _parser.py:232(__next)
    18247    0.003    0.000    0.003    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.003    0.003 client.py:224(_parse_header_lines)
        1    0.000    0.000    0.003    0.003 _htmlparser.py:1(<module>)
        1    0.000    0.000    0.003    0.003 parser.py:56(parsestr)
        1    0.000    0.000    0.002    0.002 pathlib.py:1(<module>)
    13283    0.002    0.000    0.002    0.000 _parser.py:248(match)
        2    0.000    0.000    0.002    0.001 cookies.py:124(extract_cookies_to_jar)
        1    0.000    0.000    0.002    0.002 packages.py:1(<module>)
     2632    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     3333    0.002    0.000    0.002    0.000 __init__.py:789(popTag)
    14317    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
      608    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1479(_path_importer_cache)
        2    0.000    0.000    0.002    0.001 abc.py:1(<module>)
        2    0.000    0.000    0.002    0.001 __init__.py:71(search_function)
       79    0.000    0.000    0.002    0.000 css_parser.py:472(parse_attribute_selector)
        9    0.000    0.000    0.002    0.000 _htmlparser.py:226(handle_charref)
        2    0.000    0.000    0.002    0.001 cookiejar.py:1680(extract_cookies)
       14    0.000    0.000    0.002    0.000 {method 'decode' of 'bytearray' objects}
      271    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:304(acquire)
    12820    0.002    0.000    0.002    0.000 _parser.py:159(__len__)
     4014    0.001    0.000    0.002    0.000 filter.py:725(match)
        1    0.000    0.000    0.002    0.002 typing_extensions.py:1(<module>)
      125    0.001    0.000    0.002    0.000 _compiler.py:463(_get_charset_prefix)
