('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         818811 function calls (794398 primitive calls) in 1.765 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    172/1    0.001    0.000    1.765    1.765 {built-in method builtins.exec}
        1    0.001    0.001    1.765    1.765 financial.py:1(<module>)
        1    0.000    0.000    1.554    1.554 financial.py:8(data_parser)
        1    0.000    0.000    1.413    1.413 api.py:62(get)
        1    0.000    0.000    1.413    1.413 api.py:14(request)
        1    0.000    0.000    1.413    1.413 sessions.py:500(request)
        1    0.000    0.000    1.355    1.355 sessions.py:673(send)
        1    0.000    0.000    1.203    1.203 adapters.py:590(send)
        1    0.000    0.000    1.202    1.202 connectionpool.py:592(urlopen)
        1    0.000    0.000    1.201    1.201 connectionpool.py:377(_make_request)
      311    0.001    0.000    1.183    0.004 socket.py:693(readinto)
      311    0.001    0.000    1.182    0.004 ssl.py:1271(recv_into)
      311    0.001    0.000    1.181    0.004 ssl.py:1121(read)
      311    1.180    0.004    1.180    0.004 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    1.051    1.051 connection.py:534(getresponse)
        1    0.000    0.000    1.051    1.051 client.py:1367(getresponse)
        1    0.000    0.000    1.051    1.051 client.py:317(begin)
       55    0.001    0.000    1.043    0.019 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.990    0.990 client.py:284(_read_status)
       21    0.000    0.000    0.509    0.024 __init__.py:1(<module>)
    231/4    0.001    0.000    0.212    0.053 <frozen importlib._bootstrap>:1343(_find_and_load)
    230/4    0.000    0.000    0.212    0.053 <frozen importlib._bootstrap>:1298(_find_and_load_unlocked)
    203/4    0.000    0.000    0.211    0.053 <frozen importlib._bootstrap>:905(_load_unlocked)
    170/4    0.000    0.000    0.211    0.053 <frozen importlib._bootstrap_external>:1002(exec_module)
    480/8    0.000    0.000    0.209    0.026 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      231    0.027    0.000    0.168    0.001 {method 'read' of '_io.BufferedReader' objects}
       11    0.001    0.000    0.152    0.014 {method 'join' of 'bytes' objects}
        3    0.000    0.000    0.152    0.051 models.py:890(content)
       41    0.000    0.000    0.151    0.004 models.py:816(generate)
       41    0.000    0.000    0.151    0.004 response.py:1069(stream)
       41    0.001    0.000    0.151    0.004 response.py:1202(read_chunked)
        1    0.000    0.000    0.150    0.150 connectionpool.py:1085(_validate_conn)
        1    0.000    0.000    0.150    0.150 connection.py:718(connect)
       40    0.000    0.000    0.142    0.004 response.py:1180(_handle_chunk)
       61    0.000    0.000    0.142    0.002 client.py:626(_safe_read)
        1    0.000    0.000    0.136    0.136 __init__.py:211(__init__)
        1    0.000    0.000    0.135    0.135 __init__.py:653(_feed)
        1    0.000    0.000    0.135    0.135 _htmlparser.py:449(feed)
        1    0.000    0.000    0.135    0.135 parser.py:104(feed)
        2    0.011    0.005    0.135    0.068 parser.py:134(goahead)
    30/17    0.000    0.000    0.125    0.007 {built-in method builtins.__import__}
    77/44    0.000    0.000    0.099    0.002 <frozen importlib._bootstrap>:1384(_handle_fromlist)
        1    0.000    0.000    0.098    0.098 connection.py:895(_ssl_wrap_socket_and_match_hostname)
        1    0.000    0.000    0.094    0.094 ssl_.py:410(ssl_wrap_socket)
        1    0.000    0.000    0.090    0.090 element.py:1(<module>)
     3333    0.016    0.000    0.081    0.000 parser.py:301(parse_starttag)
      317    0.001    0.000    0.074    0.000 __init__.py:329(_compile)
      313    0.000    0.000    0.074    0.000 __init__.py:286(compile)
        1    0.000    0.000    0.073    0.073 ssl_.py:508(_ssl_wrap_socket_impl)
        1    0.000    0.000    0.073    0.073 ssl.py:449(wrap_socket)
        1    0.000    0.000    0.073    0.073 ssl.py:981(_create)
        1    0.000    0.000    0.073    0.073 ssl.py:1343(do_handshake)
        1    0.073    0.073    0.073    0.073 {method 'do_handshake' of '_ssl._SSLSocket' objects}
      195    0.000    0.000    0.072    0.000 _compiler.py:736(compile)
        1    0.000    0.000    0.060    0.060 client.py:238(parse_headers)
        1    0.000    0.000    0.057    0.057 sessions.py:750(merge_environment_settings)
        1    0.000    0.000    0.057    0.057 utils.py:816(get_environ_proxies)
        1    0.000    0.000    0.057    0.057 utils.py:755(should_bypass_proxies)
        1    0.000    0.000    0.057    0.057 request.py:2635(proxy_bypass)
        1    0.000    0.000    0.057    0.057 request.py:2621(proxy_bypass_macosx_sysconf)
        1    0.000    0.000    0.053    0.053 request.py:2553(_proxy_bypass_macosx_sysconf)
        1    0.053    0.053    0.053    0.053 {built-in method _socket.gethostbyname}
        1    0.000    0.000    0.053    0.053 client.py:206(_read_headers)
        1    0.000    0.000    0.052    0.052 connection.py:192(_new_conn)
        1    0.000    0.000    0.052    0.052 connection.py:27(create_connection)
        1    0.050    0.050    0.050    0.050 {method 'connect' of '_socket.socket' objects}
        1    0.000    0.000    0.046    0.046 css.py:1(<module>)
      170    0.001    0.000    0.043    0.000 <frozen importlib._bootstrap_external>:1075(get_code)
      195    0.000    0.000    0.043    0.000 _parser.py:963(parse)
 1281/195    0.003    0.000    0.043    0.000 _parser.py:444(_parse_sub)
        3    0.000    0.000    0.042    0.014 exceptions.py:1(<module>)
 4771/203    0.015    0.000    0.042    0.000 _parser.py:504(_parse)
        1    0.000    0.000    0.041    0.041 formatter.py:1(<module>)
        1    0.000    0.000    0.040    0.040 dammit.py:1(<module>)
        1    0.000    0.000    0.040    0.040 css_parser.py:1(<module>)
     3333    0.004    0.000    0.040    0.000 _htmlparser.py:142(handle_starttag)
  555/550    0.005    0.000    0.037    0.000 {built-in method builtins.__build_class__}
  203/200    0.000    0.000    0.035    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
     3333    0.006    0.000    0.034    0.000 __init__.py:990(handle_starttag)
